marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name
2011 Mitsubishi ute triton,silver,DIESEL,MITSUBISHI,MANUAL,260000,11000,NSW,2011,ute triton,3.0,2.0,4.0,Dual-Cab UTE,4WD,TRITON
2010 Mazda Mazda3,white,PETROL,MAZDA,AUTOMATIC,240555,6850,NSW,2010,Mazda3,3.0,2.5,2.0,Hatchback,FWD,3
2004 Mazda Mazda3,gold,PETROL,MAZDA,MANUAL,150000,6000,SA,2004,Mazda3,2.5,2.0,2.0,Sedan,FWD,3
2005 Mitsubishi Lancer,white,PETROL,MITSUBISHI,AUTOMATIC,250000,3000,SA,2005,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER
2010 Mercedes-Benz C 200 CGI Classic,silver,PETROL,MERCEDES-BENZ,AUTOMATIC,142500,8800,SA,2010,c 200 cgi classic,3.0,4.0,3.0,Sedan,RWD,C-CLASS
2017 Holden Equinox LS,white,PETROL,HOLDEN,AUTOMATIC,135000,11000,SA,2017,equinox ls,2.5,2.0,3.0,Compact SUV,FWD,EQUINOX
2009 Volkswagen Tiguan,white,DIESEL,VOLKSWAGEN,AUTOMATIC,200000,6950,SA,2009,Tiguan,3.0,3.0,2.0,Compact SUV,AWD,TIGUAN
2008 Holden Commodore,silver,PETROL,HOLDEN,AUTOMATIC,305000,5000,SA,2008,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE
2000 Ford Fairmont,burgundy,PETROL,FORD,AUTOMATIC,175000,6000,SA,2000,Fairmont,3.0,2.5,4,Sedan,RWD,FAIRMONT
2018 Nissan Navara,black,DIESEL,NISSAN,MANUAL,96640,20800,SA,2018,Navara,3.0,2.5,4.0,Dual-Cab UTE,4WD,NAVARA
2012 Holden Commodore,black,PETROL,HOLDEN,MANUAL,230000,13500,SA,2012,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE
2012 Holden Commodore,red,PETROL,HOLDEN,AUTOMATIC,240634,4500,SA,2012,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE
2009 Holden Holden Colorado,white,DIESEL,HOLDEN,MANUAL,287000,11000,SA,2009,Holden Colorado,2.5,2.0,4.0,Dual-Cab UTE,4WD,COLORADO
2003 Nissan MAXIMA TI 3.0L V6 VQ30,gold,PETROL,NISSAN,AUTOMATIC,240000,3999,SA,2003,maxima ti 3.0l v6 vq30,3.5,4.0,3.5,Sedan,FWD,MAXIMA
2020 Mazda CX-9,silver,PETROL,MAZDA,AUTOMATIC,39900,35000,SA,2020,CX-9,3.8,4.0,4,Large SUV,AWD,CX-9
2008 Ford Ranger,black,DIESEL,FORD,MANUAL,12345,5000,QLD,2008,Ranger,2.5,2.0,4.0,Dual-Cab UTE,4WD,RANGER
2020 Honda jazz hybrid (fit),white,PETROL,HONDA,AUTOMATIC,72024,17800,QLD,2020,jazz hybrid (fit),2.0,2.5,1.0,Hatchback,FWD,JAZZ
2014 Toyota Corolla,blue,PETROL,TOYOTA,AUTOMATIC,190248,14000,QLD,2014,Corolla,2.5,2.5,2,Hatchback,FWD,COROLLA
2007 Toyota Yaris,silver,PETROL,TOYOTA,AUTOMATIC,290559,5500,QLD,2007,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS
2021 Kia Stonic,blue,PETROL,KIA,AUTOMATIC,63000,21000,QLD,2021,stonic,2.5,3.0,2.0,Compact SUV,FWD,STONIC
2009 Mazda Mazda3,black,PETROL,MAZDA,AUTOMATIC,252033,3250,QLD,2009,Mazda3,2.5,2.5,2.0,Hatchback,FWD,3
2010 Toyota Yaris,white,PETROL,TOYOTA,AUTOMATIC,150000,9500,QLD,2010,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS
2019 Škoda Octavia,white,PETROL,ŠKODA,AUTOMATIC,232300,10000,QLD,2019,Octavia,3.2,3.5,3,Liftback,FWD,OCTAVIA
2017 Renault Kangoo,white,DIESEL,RENAULT,AUTOMATIC,220000,30000,QLD,2017,Kangoo,2.5,1.5,2.0,Cargo van,FWD,KANGOO
2008 Honda Accord,white,PETROL,HONDA,AUTOMATIC,264635,4200,QLD,2008,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD
2009 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,176906,8500,QLD,2009,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA
2003 Hyundai Accent,silver,PETROL,HYUNDAI,AUTOMATIC,208500,4500,WA,2003,Accent,2.0,1.5,1.0,Hatchback,FWD,ACCENT
2016 Toyota Hilux,white,DIESEL,TOYOTA,AUTOMATIC,229345,26500,QLD,2016,Hilux,3.5,2.5,4,Dual-Cab UTE,4WD,HILUX
2016 Toyota Camry,blue,PETROL,TOYOTA,AUTOMATIC,261450,12000,WA,2016,Camry,3.2,3.5,3.0,Sedan,FWD,CAMRY
2020 Mazda Mazda2,black,PETROL,MAZDA,AUTOMATIC,52000,20000,WA,2020,Mazda2,2.5,2.5,1.5,Hatchback,FWD,MAZDA2
2016 Land Rover Discovery Sport,grey,DIESEL,LAND-ROVER,AUTOMATIC,158955,22000,WA,2016,Discovery Sport,3.5,4.0,3.0,Compact SUV,AWD,DISCOVERY-SPORT
2007 Nissan X-Trail,white,PETROL,NISSAN,AUTOMATIC,300,5000,WA,2007,X-Trail,3.0,2.5,2.0,SUV,4WD,X-TRAIL
2017 BMW X3,black,DIESEL,BMW,AUTOMATIC,120000,28000,WA,2017,X3,3.5,4.0,3.0,Medium SUV,AWD,X3
"2022 Hyundai WANTED STARIA,,,,i am looking for  one like this, petrol v6 white.  thanks",white,PETROL,HYUNDAI,AUTOMATIC,90000,25000,WA,2022,"wanted staria,,,,i am looking for  one like this, petrol v6 white.  thanks",3.5,3.5,5,People mover,FWD,STARIA
2019 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,110000,22900,WA,2019,Corolla,2.5,2.5,2.0,Sedan,FWD,COROLLA
2019 Toyota Landcruiser,silver,DIESEL,TOYOTA,AUTOMATIC,144500,95950,WA,2019,Landcruiser,3.5,4.0,4,Large SUV,4WD,LAND-CRUISER
2017 Renault Clio,red,PETROL,RENAULT,MANUAL,87000,8000,WA,2017,Clio,2.5,2.0,1.0,Hatchback,FWD,CLIO
2007 Holden Commodore,black,PETROL,HOLDEN,MANUAL,248000,29990,WA,2007,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE
2012 Renault Koleos,grey,PETROL,RENAULT,AUTOMATIC,135000,8000,VIC,2012,Koleos,2.5,2.5,3.0,SUV,AWD,KOLEOS
2012 Holden Commodore,black,PETROL,HOLDEN,AUTOMATIC,170000,10000,WA,2012,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE
2008 Hyundai Getz,red,PETROL,HYUNDAI,AUTOMATIC,182000,5000,VIC,2008,Getz,2.0,1.5,1.0,Hatchback,FWD,GETZ
2004 Holden Rodeo ,grey,PETROL,HOLDEN,AUTOMATIC,226000,4000,VIC,2004,Rodeo,2.5,1.5,3.0,Dual-Cab UTE,4WD,RODEO
2011 Toyota Corolla,silver,PETROL,TOYOTA,AUTOMATIC,325000,4999,VIC,2011,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA
2016 Toyota Landcruiser,beige,DIESEL,TOYOTA,MANUAL,192000,73500,VIC,2016,Landcruiser,3.5,3.0,4.5,Large SUV,4WD,LAND-CRUISER
2000 Nissan skyline,white,PETROL,NISSAN,AUTOMATIC,135500,21000,VIC,2000,skyline,3.5,3.0,3.0,Sedan,RWD,SKYLINE
2007 Isuzu giga truck & trailer,white,DIESEL,ISUZU,MANUAL,555000,120000,VIC,2007,giga truck & trailer,3.5,2.0,5.0,Truck,4WD,GIGA
2004 Honda CR-V,blue,PETROL,HONDA,AUTOMATIC,249000,8000,WA,2004,CR-V,2.0,2.5,2.0,Compact SUV,4WD,CR-V
2008 Honda CRX,blue,PETROL,HONDA,AUTOMATIC,200000,4000,VIC,2008,CRX,2.5,2.0,2.0,Coupe,FWD,CRX
2011 Toyota Hilux,white,DIESEL,TOYOTA,MANUAL,308000,16000,VIC,2011,Hilux,3.0,2.5,4.0,Dual-Cab UTE,4WD,HILUX
2011 Volkswagen Eos,silver,PETROL,VOLKSWAGEN,AUTOMATIC,139950,10990,VIC,2011,Eos,3.0,3.5,2.0,Convertible,FWD,EOS
2015 Toyota Camry,white,OTHER,TOYOTA,AUTOMATIC,162000,14800,VIC,2015,Camry,2.5,3.0,3.0,Sedan,FWD,CAMRY
2015 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,358000,5100,VIC,2015,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA
2009 Honda Jazz,silver,PETROL,HONDA,AUTOMATIC,160000,6500,VIC,2009,Jazz,2.0,2.5,1.0,Hatchback,FWD,JAZZ
2019 Nissan X-Trail,silver,PETROL,NISSAN,AUTOMATIC,186063,15888,VIC,2019,X-Trail,2.5,3.0,3.0,Medium SUV,4WD,X-TRAIL
2005 Toyota Corolla,silver,PETROL,TOYOTA,AUTOMATIC,156297,6000,NSW,2005,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA
 2011 Toyota RAV4,silver,PETROL,TOYOTA,AUTOMATIC,230000,11000,NSW,2011,RAV4,2.5,2.5,3,Compact SUV,AWD,RAV4
2017 Haval h6 lux,red,PETROL,HAVAL,AUTOMATIC,157000,16900,VIC,2017,h6 lux,2.5,3.0,3.0,SUV,FWD,H6
2004 Holden Ute,white,PETROL,HOLDEN,AUTOMATIC,267000,7250,NSW,2004,Ute,3.0,2.0,4.0,UTE,RWD,UTE
2004 Ford Falcon XR8,black,PETROL,FORD,AUTOMATIC,208000,23000,NSW,2004,falcon xr8,4.5,3.5,4,Sedan,RWD,FALCON-XR8
2016 Land Rover Range Rover Evoque,white,DIESEL,LAND-ROVER,AUTOMATIC,119000,25000,NSW,2016,Range Rover Evoque,3.0,4.0,2.0,Compact SUV,AWD,RANGE-ROVER-EVOQUE
2012 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,215000,18000,NSW,2012,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER
2024 Volkswagen Golf,grey,PETROL,VOLKSWAGEN,AUTOMATIC,17000,30500,NSW,2024,Golf,3.5,3.5,2,Hatchback,FWD,GOLF
2021 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,150000,36000,NSW,2021,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER
2004 BMW X3,silver,PETROL,BMW,AUTOMATIC,185000,3600,NSW,2004,X3,3.0,4.0,3.0,Compact SUV,AWD,X3
2013 Hyundai i30,white,PETROL,HYUNDAI,MANUAL,173000,5900,VIC,2013,i30,3.0,2.5,2.0,Hatchback,FWD,I30
2004 Toyota Corolla,red,PETROL,TOYOTA,AUTOMATIC,187000,4500,NSW,2004,Corolla,2.0,2.5,2.0,Hatchback,FWD,COROLLA
2002 Toyota Corolla,silver,PETROL,TOYOTA,AUTOMATIC,199345,4499,NSW,2002,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA
2010 Hyundai Hyundai iLOAD,grey,DIESEL,HYUNDAI,AUTOMATIC,235000,8500,NSW,2010,Hyundai iLOAD,2.5,2.0,4.0,Cargo Van,RWD,ILoad
2014 Hyundai i30,grey,PETROL,HYUNDAI,AUTOMATIC,119000,14500,NSW,2014,i30,2.5,2.5,2,Hatchback,FWD,I30
2015 Volkswagen Golf,silver,PETROL,VOLKSWAGEN,AUTOMATIC,201500,7200,NSW,2015,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF
2016 MINI JCW,green,PETROL,MINI,AUTOMATIC,66078,33000,NSW,2016,jcw,4.5,4.0,1.5,Hatchback,FWD,JCW
2015 Toyota Landcruiser Prado,grey,DIESEL,TOYOTA,AUTOMATIC,107000,40000,QLD,2015,Landcruiser Prado,3.0,3.5,4.5,Large SUV,4WD,LANDCRUISER-PRADO
2015 Nissan Pathfinder,charcoal,PETROL,NISSAN,AUTOMATIC,230000,10000,QLD,2015,Pathfinder,3.0,3.0,4.0,Large SUV,4WD,PATHFINDER
2006 Kia Rio,black,PETROL,KIA,MANUAL,160000,4490,VIC,2006,Rio,1.5,1.5,1.0,Hatchback,FWD,RIO
2008 Honda Accord,white,PETROL,HONDA,AUTOMATIC,244906,9000,NSW,2008,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD
2007 Mazda BT-50,blue,DIESEL,MAZDA,MANUAL,230000,8000,QLD,2007,BT-50,2.5,2.0,4.0,Dual-Cab UTE,4WD,BT-50
2014 Holden Holden Colorado,grey,DIESEL,HOLDEN,MANUAL,155342,11990,NSW,2014,Holden Colorado,3.0,2.0,4.0,Dual-Cab UTE,4WD,COLORADO
2010 Audi S4 Quattro Auto 4wd,white,PETROL,AUDI,AUTOMATIC,189000,17500,QLD,2010,s4 quattro auto 4wd,4.5,4.0,3.0,Sedan,AWD,S4
2007 Honda CR-V,blue,PETROL,HONDA,AUTOMATIC,346271,3600,WA,2007,CR-V,2.5,2.5,3,SUV,AWD,CR-V
2010 Volkswagen Golf,black,PETROL,VOLKSWAGEN,MANUAL,149000,6750,SA,2010,Golf,2.5,3.0,2.0,Hatchback,FWD,GOLF
2014 Holden Barina - TM MY14 RS Hatchback 5dr Man 6sp 1.4T,orange,PETROL,HOLDEN,MANUAL,91007,10889,SA,2014,barina - tm my14 rs hatchback 5dr man 6sp 1.4t,3.2,2.5,1.5,Hatchback,FWD,BARINA
2007 BMW BMW 320i e90,black,PETROL,BMW,AUTOMATIC,123000,9000,WA,2007,320i e90,2.5,3.5,3.0,Sedan,RWD,320I
2018 Honda Civic,white,PETROL,HONDA,MANUAL,100000,46500,QLD,2018,Civic,3.5,3.0,2.0,Sedan,FWD,CIVIC
2017 Subaru XV,grey,PETROL,SUBARU,AUTOMATIC,185000,13900,QLD,2017,XV,2.5,3.0,2.0,Compact SUV,AWD,XV
2010 Audi A5,silver,DIESEL,AUDI,AUTOMATIC,175000,15000,SA,2010,A5,3.0,4.0,3.0,Coupe,AWD,A5
2000 Hyundai Excel,white,PETROL,HYUNDAI,MANUAL,180000,2900,SA,2000,Excel,2.0,1.5,2.0,Hatchback,FWD,EXCEL
2016 Nissan X-Trail,red,PETROL,NISSAN,AUTOMATIC,109000,16000,SA,2016,X-Trail,2.5,2.5,3.5,Medium SUV,AWD,X-TRAIL
2008 Volkswagen Jetta,silver,PETROL,VOLKSWAGEN,AUTOMATIC,170000,6399,SA,2008,Jetta,3.0,3.0,3.0,Sedan,FWD,JETTA
2019 Hyundai TUCSON ACTIVE X (FWD) TL3 MY19 GASOLINE DIRECT INJ 2.0L 6 SP AUTO,grey,PETROL,HYUNDAI,AUTOMATIC,156987,17888,SA,2019,tucson active x (fwd) tl3 my19 gasoline direct inj 2.0l 6 sp auto,2.5,3.0,2.0,Compact SUV,FWD,TUCSON
2014 Volkswagen Touareg,white,DIESEL,VOLKSWAGEN,AUTOMATIC,302560,9950,WA,2014,Touareg,3.5,4.0,4.0,Large SUV,4WD,TOUAREG
2012 Holden Holden Colorado,red,DIESEL,HOLDEN,AUTOMATIC,247000,17500,SA,2012,Holden Colorado,3.0,2.0,4.0,Dual-Cab UTE,4WD,COLORADO
2014 Ford Mondeo,white,DIESEL,FORD,AUTOMATIC,189011,6250,WA,2014,Mondeo,3.5,3.0,3.0,Sedan,FWD,MONDEO
2001 Mazda MAZDA B2500,white,DIESEL,MAZDA,MANUAL,290000,8000,SA,2001,MAZDA B2500,2.5,2.0,4.0,Dual-Cab UTE,4WD,B2500
2008 Subaru Impreza,blue,PETROL,SUBARU,AUTOMATIC,217620,5999,SA,2008,Impreza,3.0,2.5,2.0,Hatchback,AWD,IMPREZA
2023 Volkswagen Tiguan R 5N Auto 4MOTION,white,PETROL,VOLKSWAGEN,AUTOMATIC,27001,59888,WA,2023,tiguan r 5n auto 4motion,4.5,4.0,3.5,Medium SUV,AWD,TIGUAN-R
2008 Toyota Kluger Kx-S (Fwd) 7 Seats,white,PETROL,TOYOTA,AUTOMATIC,236414,8999,SA,2008,kluger kx-s (fwd) 7 seats,2.5,2.5,4,Large SUV,FWD,KLUGER
2010 Subaru Outback,white,PETROL,SUBARU,AUTOMATIC,233841,4000,WA,2010,Outback,3.0,3.0,3.5,Wagon,AWD,OUTBACK
2010 Hyundai Santa Fe,grey,DIESEL,HYUNDAI,AUTOMATIC,220000,6500,WA,2010,Santa Fe,3.0,3.0,4.0,Medium SUV,4WD,SANTA-FE
2006 Toyota estima/tarago aeras,silver,PETROL,TOYOTA,AUTOMATIC,136803,9999,WA,2006,estima/tarago aeras,3.0,3.0,4.0,People mover,FWD,ESTIMA/TARAGO
2009 BMW X5,silver,DIESEL,BMW,AUTOMATIC,250000,6300,WA,2009,X5,3.5,4.0,4.0,Large SUV,AWD,X5
2005 MINI Cooper,blue,PETROL,MINI,MANUAL,151000,5500,WA,2005,Cooper,3.0,3.5,1.0,Hatchback,FWD,COOPER
2009 Holden Calais,gold,OTHER,HOLDEN,AUTOMATIC,240000,8000,WA,2009,Calais,3.5,4.0,4.0,Sedan,RWD,CALAIS
2006 Holden Statesman INTERNATIONAL,silver,OTHER,HOLDEN,AUTOMATIC,170000,15000,WA,2006,statesman international,3.5,4.0,4,Sedan,RWD,STATESMAN-INTERNATIONAL
2011 Suzuki Swift,blue,PETROL,SUZUKI,MANUAL,166194,7000,WA,2011,Swift,2.5,2.0,1.5,Hatchback,FWD,SWIFT
2003 Mazda Bravo,white,PETROL,MAZDA,MANUAL,190000,6000,WA,2003,Bravo,2.0,2.0,4.0,Dual-Cab UTE,4WD,BRAVO
2004 Holden Commodore,white,OTHER,HOLDEN,AUTOMATIC,298888,4950,WA,2004,Commodore,3.5,2.5,4,Sedan,RWD,COMMODORE
2005 Hyundai Accent,blue,PETROL,HYUNDAI,AUTOMATIC,200150,5300,WA,2005,Accent,2.5,2.0,2.0,Hatchback,FWD,ACCENT
2002 Toyota rav 4 edge vvt-i,white,PETROL,TOYOTA,AUTOMATIC,274000,4500,WA,2002,rav 4 edge vvt-i,3.0,2.5,2.0,Compact SUV,AWD,RAV-4
2012 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,320120,17500,WA,2012,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER
2014 Volkswagen Golf,white,PETROL,VOLKSWAGEN,AUTOMATIC,169000,9500,WA,2014,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF
2017 Mercedes-Benz GLS 350d sport,silver,DIESEL,MERCEDES-BENZ,AUTOMATIC,146800,49000,NSW,2017,gls 350d sport,3.5,4.5,5,Large SUV,4WD,GLS-350D
2014 Mitsubishi OUTLANDER ES MY14.5 SN2419L,white,PETROL,MITSUBISHI,AUTOMATIC,221563,10995,NSW,2014,outlander es my14.5 sn2419l,2.5,2.0,3.0,Medium SUV,AWD,OUTLANDER
2001 BMW e46 330ci,black,PETROL,BMW,AUTOMATIC,156500,12500,NSW,2001,e46 330ci,4.0,4.0,3.0,Coupe,RWD,330CI
2021 Kia Cerato,silver,PETROL,KIA,AUTOMATIC,76000,26000,NSW,2021,Cerato,3.0,3.0,2.0,Sedan,FWD,CERATO
2010 Mazda Mazda 3 SP25,silver,PETROL,MAZDA,AUTOMATIC,200000,6500,NSW,2010,3 sp25,3.8,3.0,2.0,Hatchback,FWD,3
2001 Jeep Grand Cherokee,white,PETROL,JEEP,AUTOMATIC,312000,2500,NSW,2001,Grand Cherokee,3.0,3.5,4.0,Large SUV,4WD,GRAND-CHEROKEE
2021 Subaru WRX STI MY21,grey,PETROL,SUBARU,MANUAL,31000,55000,NSW,2021,wrx sti my21,4.5,3.0,3.0,Sedan,AWD,WRX-STI
2020 BMW 220i M Sport,grey,PETROL,BMW,AUTOMATIC,35000,45500,NSW,2020,220i m sport,3.5,4.0,2.0,Sedan,RWD,2-SERIES
2012 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,206021,18800,NSW,2012,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER
2019 Nissan Navara,grey,DIESEL,NISSAN,AUTOMATIC,221318,21800,NSW,2019,Navara,3.0,2.5,4.0,Dual-Cab UTE,4WD,NAVARA
2017 Ford Ranger,charcoal,DIESEL,FORD,AUTOMATIC,139600,42500,NSW,2017,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER
2013 BMW X5,white,DIESEL,BMW,AUTOMATIC,183000,14700,NSW,2013,X5,3.5,4.0,4,Large SUV,AWD,X5
2011 Toyota Landcruiser,white,DIESEL,TOYOTA,MANUAL,143000,65000,NSW,2011,Landcruiser,3.5,3.5,5,Large SUV,4WD,LAND-CRUISER
2011 Renault Kangoo,silver,PETROL,RENAULT,AUTOMATIC,290000,4500,VIC,2011,Kangoo,2.0,1.5,2.0,Cargo van,FWD,KANGOO
2011 Audi A1,black,PETROL,AUDI,AUTOMATIC,139000,10888,VIC,2011,A1,2.5,3.5,1.5,Hatchback,FWD,A1
2016 BMW X4,black,DIESEL,BMW,AUTOMATIC,91000,43000,VIC,2016,X4,3.5,4.0,3.0,SUV,AWD,X4
2001 Subaru Forester,silver,OTHER,SUBARU,MANUAL,270000,5400,VIC,2001,Forester,2.5,2.0,3.0,SUV,AWD,FORESTER
2011 Hyundai Hyundai iLOAD,white,DIESEL,HYUNDAI,MANUAL,200000,2500,VIC,2011,Hyundai iLOAD,2.5,1.5,4.0,Cargo Van,RWD,I-LOAD
2013 Subaru Outback,black,DIESEL,SUBARU,AUTOMATIC,196000,8900,VIC,2013,Outback,3.5,3.0,4.0,Wagon,AWD,OUTBACK
2015 Nissan Pulsar,white,DIESEL,NISSAN,AUTOMATIC,91655,9999,VIC,2015,Pulsar,2.5,2.0,3.0,Sedan,FWD,PULSAR
2007 Nissan Maxima,blue,PETROL,NISSAN,AUTOMATIC,168000,5500,VIC,2007,Maxima,3.5,3.5,3.0,Sedan,FWD,MAXIMA
2006 Subaru Impreza,silver,PETROL,SUBARU,AUTOMATIC,173000,4700,VIC,2006,Impreza,3.2,2.5,2,Sedan,AWD,IMPREZA
2017 Toyota Hiace,grey,PETROL,TOYOTA,AUTOMATIC,143000,48500,VIC,2017,Hiace,2.5,1.5,4.0,Cargo van,RWD,HIACE
2018 Kia Optima,grey,PETROL,KIA,AUTOMATIC,119000,21500,VIC,2018,Optima,3.0,3.5,3.0,Sedan,FWD,OPTIMA
2012 BMW e92 m3,white,PETROL,BMW,AUTOMATIC,82000,71000,VIC,2012,e92 m3,4.5,4.0,3.0,Coupe,RWD,M3
2005 Toyota Crown Athlete G Package,white,PETROL,TOYOTA,AUTOMATIC,58300,18999,VIC,2005,crown athlete g package,3.5,4.0,3.5,Sedan,RWD,CROWN-ATHLETE
2004 Ford Falcon,silver,OTHER,FORD,AUTOMATIC,300000,8000,VIC,2004,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON
2012 Ford Territory,white,DIESEL,FORD,AUTOMATIC,316162,6500,VIC,2012,Territory,3.0,2.5,4.0,Large SUV,RWD,TERRITORY
2019 Audi Q2,white,PETROL,AUDI,AUTOMATIC,41567,25999,QLD,2019,Q2,3.0,3.5,2.0,Compact SUV,AWD,Q2
2015 BMW M135i,grey,PETROL,BMW,AUTOMATIC,54727,37880,QLD,2015,series 1,4.5,4.0,2.0,Hatchback,RWD,M135I
2014 BMW 2014 bmw 1 series 116i f20 auto,silver,PETROL,BMW,AUTOMATIC,209110,9000,QLD,2014,2014 bmw 1 series 116i f20 auto,2.5,3.5,2,Hatchback,RWD,1-SERIES
2005 Holden Commodore,white,PETROL,HOLDEN,AUTOMATIC,214000,5000,QLD,2005,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE
2014 Toyota Landcruiser Prado,silver,DIESEL,TOYOTA,AUTOMATIC,109000,42990,QLD,2014,Landcruiser Prado,3.5,3.5,4,Large SUV,4WD,LANDCRUISER-PRADO
2005 Mercedes-Benz Mercedes-Benz ML500,silver,PETROL,MERCEDES-BENZ,AUTOMATIC,223476,7500,QLD,2005,Mercedes-Benz ML500,4.0,4.5,4.0,Large SUV,AWD,ML500
2011 Hyundai Elantra,red,OTHER,HYUNDAI,AUTOMATIC,240000,6500,QLD,2011,Elantra,2.5,2.5,2.0,Sedan,FWD,ELANTRA
2016 Mercedes-Benz C300,silver,OTHER,MERCEDES-BENZ,AUTOMATIC,62700,36900,QLD,2016,c-class,3.5,4.0,3.0,Sedan,RWD,C300
2018 Subaru Outback,white,PETROL,SUBARU,AUTOMATIC,55000,26999,QLD,2018,Outback,3.5,3.0,4.0,Crossover,AWD,OUTBACK
2007 Toyota Aurion,red,PETROL,TOYOTA,AUTOMATIC,210000,6500,QLD,2007,Aurion,3.5,3.0,3.0,Sedan,FWD,AURION
2017 Volkswagen Amarok,white,DIESEL,VOLKSWAGEN,AUTOMATIC,259263,19995,QLD,2017,Amarok,4.0,3.0,4.0,Dual-Cab UTE,4WD,AMAROK
2013 Mazda CX-5,black,DIESEL,MAZDA,AUTOMATIC,175372,12599,QLD,2013,CX-5,3.0,2.5,3.0,Medium SUV,AWD,CX-5
2013 Toyota Landcruiser Prado,silver,DIESEL,TOYOTA,AUTOMATIC,167617,42990,QLD,2013,Landcruiser Prado,3.5,3.5,4.5,Large SUV,4WD,LANDCRUISER-PRADO
2021 Ford Ranger,charcoal,DIESEL,FORD,AUTOMATIC,94000,39500,QLD,2021,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER
2012 MINI Cooper,blue,OTHER,MINI,MANUAL,210000,9500,QLD,2012,Cooper,3.0,3.5,1.5,Hatchback,FWD,COOPER
2012 Mazda Mazda6,white,PETROL,MAZDA,AUTOMATIC,252000,9000,QLD,2012,Mazda6,3.0,3.0,3.0,Sedan,FWD,6
2011 Toyota Yaris Auto 5 Dr Hatchback,green,PETROL,TOYOTA,AUTOMATIC,210669,4990,QLD,2011,yaris auto 5 dr hatchback,2.5,2.0,1.0,Hatchback,FWD,YARIS
2014 Toyota 200 series Landcruiser GXL,black,DIESEL,TOYOTA,AUTOMATIC,306701,50000,QLD,2014,200 series landcruiser gxl,4.0,4.0,5.0,Large SUV,4WD,LAND-CRUISER
2008 Honda Jazz,silver,PETROL,HONDA,AUTOMATIC,151408,7999,QLD,2008,Jazz,2.0,2.0,1.0,Hatchback,FWD,JAZZ
2003 BMW e46 325i,blue,PETROL,BMW,AUTOMATIC,265000,6000,VIC,2003,e46 325i,3.5,4.0,3,Sedan,RWD,325I
2012 Mercedes-Benz Mercedes-Benz ML250 CDI,red,DIESEL,MERCEDES-BENZ,AUTOMATIC,354000,6500,QLD,2012,Mercedes-Benz ML250 CDI,3.0,4.0,4.0,SUV,4WD,ML250-CDI
2012 Honda Odyssey,white,PETROL,HONDA,AUTOMATIC,182800,11000,WA,2012,Odyssey,2.5,3.0,4.0,People mover,FWD,ODYSSEY
2007 Toyota luger,silver,PETROL,TOYOTA,AUTOMATIC,251342,7000,NSW,2007,luger,2.5,2.0,3.0,Sedan,FWD,CAMRY
2013 Honda Civic 9th Gen MY13 VTi-S Manual Hatchback,black,PETROL,HONDA,MANUAL,146112,9990,QLD,2013,civic 9th gen my13 vti-s manual hatchback,2.5,2.5,2.0,Hatchback,FWD,CIVIC
2006 Ford Focus,white,PETROL,FORD,AUTOMATIC,86148,5999,QLD,2006,Focus,2.5,2.0,2.0,Hatchback,FWD,FOCUS
2007 Toyota Corolla,grey,PETROL,TOYOTA,AUTOMATIC,291000,5200,WA,2007,Corolla,2.5,2.0,2,Hatchback,FWD,COROLLA
