marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name,description
"2011 Toyota Hiace commuter 2 wheelchair auto petrol 146,000km",white,PETROL,TOYOTA,AUTOMATIC,146000,31990,SA,2011,"hiace commuter 2 wheelchair auto petrol 146,000km",2.0,1.5,5.0,Passenger van,RWD,HIACE,HIACE
2014 Renault Megane,white,PETROL,RENAULT,MANUAL,140000,23500,SA,2014,Megane,2.5,2.5,2.0,Hatchback,FWD,MEGANE,RENAULT-MEGANE
2010 Audi Q5,silver,PETROL,AUDI,AUTOMATIC,230000,12000,SA,2010,Q5,3.0,4.0,3.0,Medium SUV,AWD,Q5,Q5
2010 Toyota Landcruiser Prado,white,DIESEL,TOYOTA,AUTOMATIC,382225,19000,SA,2010,Landcruiser Prado,3.5,3.5,4.0,Large SUV,4WD,LANDCRUISER,LANDCRUISER-PRADO
2011 Mitsubishi Lancer,silver,PETROL,MITSUBISHI,AUTOMATIC,142713,9999,SA,2011,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER,LANCER
2012 Hyundai Ix35,grey,PETROL,HYUNDAI,AUTOMATIC,230000,10500,SA,2012,Ix35,2.5,3.0,2.0,Compact SUV,AWD,IX35,IX35
2008 Nissan X-Trail,white,PETROL,NISSAN,AUTOMATIC,243833,6500,SA,2008,X-Trail,2.5,2.5,3.0,Compact SUV,AWD,X-TRAIL,X-TRAIL
2009 Mitsubishi Mitsubishi Express,white,PETROL,MITSUBISHI,MANUAL,325000,7500,SA,2009,Mitsubishi Express,2.0,1.5,4.0,Cargo van,RWD,EXPRESS,EXPRESS
2023 Toyota Hiace,white,DIESEL,TOYOTA,AUTOMATIC,81627,67989,WA,2023,Hiace,2.5,2.0,4.0,Cargo van,RWD,HIACE,HIACE
2015 Mercedes-Benz CLA45 AMG,white,OTHER,MERCEDES-BENZ,AUTOMATIC,114000,33000,WA,2015,cla-class,4.5,4.5,2.0,Sedan,AWD,CLA,CLA45
2004 Toyota Land cruiser Prado,blue,DIESEL,TOYOTA,MANUAL,530000,10000,WA,2004,Landcruiser Prado,3.0,3.5,4.0,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER-PRADO
2010 Mercedes-Benz Sprinter,white,DIESEL,MERCEDES-BENZ,AUTOMATIC,400000,15000,WA,2010,Sprinter,2.5,3.5,5.0,Cargo Van,RWD,SPRINTER,SPRINTER
2015 Mitsubishi Mirage,silver,PETROL,MITSUBISHI,AUTOMATIC,149200,9500,WA,2015,Mirage,1.5,1.5,1.5,Hatchback,FWD,MIRAGE,MIRAGE
2010 Mercedes-Benz Sprinter - campervan,white,DIESEL,MERCEDES-BENZ,MANUAL,286000,20000,WA,2010,sprinter - campervan,3.0,3.5,5.0,Van,RWD,SPRINTER,SPRINTER
2007 Ford Transit ,white,DIESEL,FORD,MANUAL,308000,10000,WA,2007,transit,2.0,1.5,4.0,Cargo Van,RWD,TRANSIT,TRANSIT
2011 Toyota Hiace,white,PETROL,TOYOTA,AUTOMATIC,329000,19500,WA,2011,Hiace,2.5,1.5,4.0,Cargo Van,RWD,HIACE,HIACE
2001 Jeep Grand Cherokee,gold,PETROL,JEEP,AUTOMATIC,226000,3500,VIC,2001,Grand Cherokee,3.0,3.5,4.0,Large SUV,4WD,GRAND-CHEROKEE,GRAND-CHEROKEE
2005 Toyota Hiace,white,PETROL,TOYOTA,MANUAL,274537,8200,VIC,2005,Hiace,2.0,1.5,4.0,Van,RWD,HIACE,HIACE
2019 Land Rover Range Rover Evoque,grey,DIESEL,LAND-ROVER,AUTOMATIC,45000,44500,VIC,2019,Range Rover Evoque,3.5,4.0,2.0,Compact SUV,AWD,RANGE-ROVER-EVOQUE,RANGE-ROVER-EVOQUE
2015 Honda Civic,red,PETROL,HONDA,AUTOMATIC,157307,13880,VIC,2015,Civic,2.5,2.5,2.0,Sedan,FWD,CIVIC,CIVIC
2015 Porsche macan turbo,grey,PETROL,PORSCHE,AUTOMATIC,99000,48500,VIC,2015,macan turbo,4.5,4.5,3.0,Medium SUV,AWD,MACAN,MACAN-TURBO
2009 BMW e93,black,PETROL,BMW,AUTOMATIC,206000,9900,NSW,2009,e93,3.5,4.0,3.0,Convertible,RWD,4-SERIES,4-SERIES
2022 Land Rover Range Rover Evoque [Santorini Black + Extras],black,PETROL,LAND-ROVER,AUTOMATIC,31750,72000,NSW,2022,range rover evoque [santorini black + extras],3.5,4.0,2.5,Compact SUV,AWD,RANGE-ROVER-EVOQUE,RANGE-ROVER-EVOQUE
2014 Volkswagen Golf,blue,PETROL,VOLKSWAGEN,AUTOMATIC,157000,20999,NSW,2014,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF
2021 Lexus Lexus ES 300h,black,PETROL,LEXUS,AUTOMATIC,64000,52500,NSW,2021,Lexus ES 300h,3.5,4.5,3.0,Sedan,FWD,ES,LEXUS-ES-300H
2014 Land Rover Range Rover Evoque,white,DIESEL,LAND-ROVER,AUTOMATIC,105000,19990,QLD,2014,Range Rover Evoque,3.0,4.0,2.0,Compact SUV,4WD,RANGE-ROVER-EVOQUE,RANGE-ROVER-EVOQUE
2016 Toyota Fortuner,white,DIESEL,TOYOTA,AUTOMATIC,198400,30900,SA,2016,Fortuner,3.0,2.0,4.0,Large SUV,4WD,FORTUNER,FORTUNER
2010 Holden Commodore,silver,PETROL,HOLDEN,AUTOMATIC,140001,24500,NSW,2010,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2003 Holden Commodore,black,PETROL,HOLDEN,MANUAL,12550,6500,VIC,2003,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2018 Holden Commodore,silver,PETROL,HOLDEN,AUTOMATIC,167351,16500,SA,2018,Commodore,3.5,3.5,4.0,Sedan,AWD,COMMODORE,COMMODORE
2017 Land Rover Discovery Sport HSE Luxury,black,DIESEL,LAND-ROVER,AUTOMATIC,119000,20000,SA,2017,discovery sport hse luxury,3.2,4.0,3.0,Compact SUV,AWD,DISCOVERY-SPORT,DISCOVERY-SPORT
2004 Mercedes-Benz Sprinter,white,OTHER,MERCEDES-BENZ,MANUAL,288000,21000,SA,2004,Sprinter,2.0,3.0,5.0,Cargo Van,RWD,SPRINTER,SPRINTER
2010 HSV VE GTS,grey,PETROL,HSV,AUTOMATIC,128000,55900,SA,2010,ve gts,4.5,4.0,4.0,Sedan,RWD,GTS,GTS
2020 Toyota Landcruiser VDJ200R GXL Wagon 8st 5dr Spts Auto 6sp 4x4 610kg 4.5DTT,black,DIESEL,TOYOTA,AUTOMATIC,40240,119517,SA,2020,landcruiser vdj200r gxl wagon 8st 5dr spts auto 6sp 4x4 610kg 4.5dtt,3.5,4.0,4.5,Large SUV,4WD,LANDCRUISER,LANDCRUISER
2010 Ford Fiesta,black,PETROL,FORD,AUTOMATIC,161334,6990,SA,2010,Fiesta,2.5,2.0,1.5,Hatchback,FWD,FIESTA,FIESTA
2005 Toyota Corolla,blue,PETROL,TOYOTA,MANUAL,230000,3000,SA,2005,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA,COROLLA
2010 Hyundai Getz,blue,PETROL,HYUNDAI,AUTOMATIC,253000,3750,SA,2010,Getz,2.0,1.5,1.0,Hatchback,FWD,GETZ,GETZ
2005 Toyota RAV4,black,PETROL,TOYOTA,MANUAL,300000,3000,SA,2005,RAV4,3.0,3.0,2.0,Compact SUV,AWD,RAV4,RAV4
2014 Toyota hiace (dx trh200),white,PETROL,TOYOTA,AUTOMATIC,157000,24990,WA,2014,hiace (dx trh200),2.0,1.5,4.0,Cargo Van,RWD,HIACE,HIACE
2008 Holden Rodeo,white,DIESEL,HOLDEN,MANUAL,210532,9000,WA,2008,Rodeo,2.5,2.0,4.0,Dual-Cab UTE,4WD,RODEO,RODEO
2022 Mitsubishi Outlander,black,PETROL,MITSUBISHI,AUTOMATIC,38000,43499,SA,2022,Outlander,3.0,3.5,4.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2018 Lexus RX450h F Sport,red,PETROL,LEXUS,AUTOMATIC,131720,49999,WA,2018,rx450h f sport,3.8,4.5,4.0,SUV,AWD,RX,RX450H-F-SPORT
2009 Renault Kangoo,white,PETROL,RENAULT,AUTOMATIC,126000,16500,VIC,2009,Kangoo,2.0,2.0,2.0,Cargo Van,FWD,KANGOO,KANGOO
2006 MITSUBISHI PAJERO 7 seater,gold,DIESEL,MITSUBISHI,AUTOMATIC,200321,5800,VIC,2006,7 seater,3.0,3.0,4.0,Large SUV,4WD,PAJERO,PAJERO
2000 Toyota Landcruiser,grey,PETROL,TOYOTA,AUTOMATIC,302,18990,VIC,2000,Landcruiser,3.0,3.5,4.5,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER
2016 Jeep Wrangler,white,OTHER,JEEP,MANUAL,115000,25900,QLD,2016,Wrangler,3.5,2.5,3.0,SUV,4WD,WRANGLER,WRANGLER
2021 Toyota Landcruiser,grey,DIESEL,TOYOTA,MANUAL,105000,135000,QLD,2021,Landcruiser,3.5,4.0,5.0,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER
2001 Nissan Patrol,gold,OTHER,NISSAN,MANUAL,1230,22000,VIC,2001,Patrol,3.0,2.5,4.0,Large SUV,4WD,PATROL,PATROL
2018 Mitsubishi triton gls sport edition,white,DIESEL,MITSUBISHI,AUTOMATIC,108100,24500,QLD,2018,triton gls sport edition,3.0,3.5,4.0,Dual-Cab UTE,4WD,TRITON,TRITON
2004 Toyota Kluger ,black,OTHER,TOYOTA,AUTOMATIC,287000,4700,QLD,2004,kluger,3.0,3.0,4.0,Large SUV,AWD,KLUGER,KLUGER
2007 Honda Accord,grey,PETROL,HONDA,AUTOMATIC,121429,6000,NSW,2007,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD,ACCORD
2008 Toyota Hiace,white,PETROL,TOYOTA,AUTOMATIC,448033,8000,NSW,2008,Hiace,2.5,1.5,4.0,Cargo van,RWD,HIACE,HIACE
2002 Nissan Patrol,gold,OTHER,NISSAN,MANUAL,223000,9800,QLD,2002,Patrol,2.5,2.0,4.0,Large SUV,4WD,PATROL,PATROL
2018 Jaguar XE,blue,OTHER,JAGUAR,AUTOMATIC,131000,20000,NSW,2018,XE,3.5,3.5,3.0,Sedan,RWD,XE,XE
2010 Toyota Corolla,red,PETROL,TOYOTA,AUTOMATIC,82000,13000,NSW,2010,Corolla,2.0,2.0,2.0,Hatchback,FWD,COROLLA,COROLLA
2014 Nissan Qashqai,silver,PETROL,NISSAN,AUTOMATIC,225000,8500,NSW,2014,Qashqai,2.5,2.5,3.0,Compact SUV,FWD,QASHQAI,QASHQAI
2011 Subaru Forester,silver,PETROL,SUBARU,AUTOMATIC,213000,6500,VIC,2011,Forester,3.2,3.0,3.0,SUV,AWD,FORESTER,FORESTER
"2004 Toyota landcruiser 100 seriers gxl 4.7 litre v8 petrol. auto, air, steer. loaded with extra's ready to tow",black,PETROL,TOYOTA,AUTOMATIC,386687,21999,SA,2004,"landcruiser 100 seriers gxl 4.7 litre v8 petrol. auto, air, steer. loaded with extra's ready to tow",3.5,3.5,4.0,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER
2013 Mitsubishi Triton ,white,PETROL,MITSUBISHI,MANUAL,262000,6500,NSW,2013,triton,3.0,2.0,4.0,Dual-Cab UTE,4WD,TRITON,TRITON
2014 Mitsubishi Triton GLX-R,black,DIESEL,MITSUBISHI,AUTOMATIC,170000,9000,QLD,2014,triton glx-r,3.0,2.5,4.0,Dual-Cab UTE,4WD,TRITON,TRITON
2008 Toyota Landcruiser Prado,white,DIESEL,TOYOTA,MANUAL,231000,12000,VIC,2008,Landcruiser Prado,3.5,3.5,4.5,Large SUV,4WD,LANDCRUISER,LANDCRUISER-PRADO
2022 Toyota RAV4,white,PETROL,TOYOTA,AUTOMATIC,70758,39000,VIC,2022,RAV4,3.0,3.5,3.0,Medium SUV,AWD,RAV4,RAV4
2004 Nissan Navara,white,DIESEL,NISSAN,MANUAL,441000,4500,VIC,2004,Navara,2.5,2.0,4.0,Dual-Cab UTE,4WD,NAVARA,NAVARA
2015 Ford Territory,grey,DIESEL,FORD,AUTOMATIC,199900,8900,VIC,2015,Territory,3.5,3.0,4.5,Large SUV,RWD,TERRITORY,TERRITORY
2010 Hyundai Hyundai iLOAD,white,DIESEL,HYUNDAI,AUTOMATIC,270290,10000,WA,2010,Hyundai iLOAD,2.5,2.0,4.0,Cargo Van,RWD,ILOAD,ILoad
2010 Honda Jazz,blue,PETROL,HONDA,AUTOMATIC,199000,5199,VIC,2010,Jazz,2.0,2.5,2.0,Hatchback,FWD,JAZZ,JAZZ
2023 Toyota Landcruiser,white,DIESEL,TOYOTA,AUTOMATIC,14600,134999,WA,2023,Landcruiser,4.0,4.0,4.5,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER
2009 Mercedes-Benz Sprinter,white,DIESEL,MERCEDES-BENZ,AUTOMATIC,40800,43990,QLD,2009,Sprinter,2.5,3.5,4.5,Cargo Van,RWD,SPRINTER,SPRINTER
2009 Mitsubishi Lancer,white,PETROL,MITSUBISHI,MANUAL,167000,4950,QLD,2009,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER,LANCER
2008 Toyota Landcruiser Prado,silver,PETROL,TOYOTA,AUTOMATIC,305000,15000,QLD,2008,Landcruiser Prado,3.5,3.5,4.5,Large SUV,4WD,LANDCRUISER,LANDCRUISER-PRADO
2015 Toyota Camry,gold,PETROL,TOYOTA,AUTOMATIC,118400,15500,QLD,2015,Camry,2.5,3.0,3.0,Sedan,FWD,CAMRY,CAMRY
2015 Land Rover Discovery Sport,black,DIESEL,LAND-ROVER,AUTOMATIC,109000,17500,QLD,2015,Discovery Sport,3.5,4.0,3.0,Compact SUV,AWD,DISCOVERY-SPORT,DISCOVERY-SPORT
2010 Subaru impreza rs,blue,PETROL,SUBARU,AUTOMATIC,287000,5000,QLD,2010,impreza rs,3.0,2.5,2.0,Hatchback,AWD,IMPREZA,IMPREZA-RS
2018 Subaru Forester,white,PETROL,SUBARU,AUTOMATIC,113000,19999,NSW,2018,Forester,3.0,3.5,3.0,SUV,AWD,FORESTER,FORESTER
2018 Volvo XC60,white,PETROL,VOLVO,AUTOMATIC,140000,28000,NSW,2018,XC60,3.5,4.0,3.0,Medium SUV,AWD,XC60,XC60
2013 Renault Kangoo,white,OTHER,RENAULT,MANUAL,149000,5999,NSW,2013,Kangoo,2.0,2.0,2.0,Cargo Van,FWD,KANGOO,KANGOO
2020 Land Rover Range Rover Evoque,white,PETROL,LAND-ROVER,AUTOMATIC,95714,28000,QLD,2020,Range Rover Evoque,3.5,4.0,2.5,Compact SUV,AWD,RANGE-ROVER-EVOQUE,RANGE-ROVER-EVOQUE
2022 Mercedes-Benz GLC300,grey,PETROL,MERCEDES-BENZ,AUTOMATIC,33400,65088,NSW,2022,glc300,3.8,4.5,3.0,Medium SUV,AWD,GLC,GLC300
2001 Mitsubishi Mitsubishi Express,white,PETROL,MITSUBISHI,MANUAL,183000,4000,WA,2001,Mitsubishi Express,2.0,1.5,4.0,Cargo van,RWD,EXPRESS,EXPRESS
2014 Kia Sorento,white,DIESEL,KIA,AUTOMATIC,172000,16500,WA,2014,Sorento,3.0,3.5,4.0,Large SUV,4WD,SORENTO,SORENTO
2010 Volkswagen van transporter,white,DIESEL,VOLKSWAGEN,MANUAL,260000,15450,WA,2010,van transporter,3.0,2.0,4.0,Cargo van,RWD,TRANSPORTER,TRANSPORTER
2011 Volkswagen Eos,grey,DIESEL,VOLKSWAGEN,AUTOMATIC,120000,12500,VIC,2011,Eos,3.0,3.5,2.0,Convertible,FWD,EOS,EOS
2013 Hyundai Hyundai iLOAD,white,DIESEL,HYUNDAI,MANUAL,130000,4000,VIC,2013,Hyundai iLOAD,2.5,1.5,4.5,Cargo Van,RWD,ILOAD,Iload
2001 Toyota Hiace,white,PETROL,TOYOTA,AUTOMATIC,354000,9200,VIC,2001,Hiace,2.0,1.5,4.0,Cargo van,RWD,HIACE,HIACE
2018 Audi S3,blue,PETROL,AUDI,AUTOMATIC,72000,39000,VIC,2018,S3,4.5,4.0,2.0,Sedan,AWD,S3,S3
2016 Holden Holden Colorado,white,OTHER,HOLDEN,MANUAL,147890,21700,VIC,2016,Holden Colorado,3.0,2.5,4.0,Dual-Cab UTE,4WD,COLORADO,COLORADO
2018 Ford Ranger,blue,DIESEL,FORD,AUTOMATIC,165000,78990,VIC,2018,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2017 Volkswagen Golf,blue,PETROL,VOLKSWAGEN,AUTOMATIC,79758,31800,QLD,2017,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF
2011 Suzuki Swift,silver,OTHER,SUZUKI,AUTOMATIC,177000,8000,VIC,2011,Swift,2.5,2.0,1.5,Hatchback,FWD,SWIFT,SWIFT
2014 Holden Ute,blue,PETROL,HOLDEN,AUTOMATIC,178000,20500,QLD,2014,Ute,3.0,2.5,4.0,UTE,RWD,UTE,UTE
2017 Honda Grace Hybrid,silver,HYBRID,HONDA,AUTOMATIC,57763,17990,VIC,2017,grace hybrid,2.0,3.0,2.0,Sedan,FWD,E,GRACE
2020 Nissan juke ti-s,silver,PETROL,NISSAN,AUTOMATIC,24923,23490,QLD,2020,juke ti-s,3.0,3.5,2.0,Compact SUV,FWD,JUKE,JUKE
2004 Ford Falcon,red,PETROL,FORD,AUTOMATIC,247000,2500,QLD,2004,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON,FALCON
2011 Toyota Hiace,white,PETROL,TOYOTA,AUTOMATIC,113000,27500,NSW,2011,Hiace,2.5,1.5,4.0,Cargo Van,RWD,HIACE,HIACE
2009 Volkswagen Golf,white,PETROL,VOLKSWAGEN,MANUAL,260000,4500,NSW,2009,Golf,3.0,3.0,2.0,Hatchback,FWD,GOLF,GOLF
2007 Volkswagen Golf,grey,PETROL,VOLKSWAGEN,MANUAL,160000,6500,NSW,2007,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF
2012 Suzuki Swift,grey,PETROL,SUZUKI,AUTOMATIC,123000,7000,NSW,2012,Swift,2.5,2.0,1.5,Hatchback,FWD,SWIFT,SWIFT
2011 Jeep Wrangler Unlimited,black,PETROL,JEEP,AUTOMATIC,62000,44500,NSW,2011,Wrangler Unlimited,3.0,2.0,4.0,SUV,4WD,WRANGLER,WRANGLER-UNLIMITED
2008 Holden Commodore,black,PETROL,HOLDEN,AUTOMATIC,229000,3000,VIC,2008,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2016 Mitsubishi Outlander,white,PETROL,MITSUBISHI,AUTOMATIC,108000,15950,QLD,2016,Outlander,3.0,3.0,3.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2008 Volkswagen Golf,red,PETROL,VOLKSWAGEN,AUTOMATIC,158100,6300,VIC,2008,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF
2006 Holden Commodore,white,OTHER,HOLDEN,AUTOMATIC,270000,5500,QLD,2006,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2012 Mazda CX-5,white,DIESEL,MAZDA,AUTOMATIC,165000,5850,QLD,2012,CX-5,2.5,3.0,3.0,Compact SUV,AWD,CX-5,CX-5
2007 Suzuki Alto,blue,OTHER,SUZUKI,MANUAL,153000,2600,QLD,2007,Alto,1.5,1.0,1.0,Hatchback,FWD,ALTO,ALTO
2007 Mazda BT-50,grey,DIESEL,MAZDA,MANUAL,341000,8000,WA,2007,BT-50,2.5,2.0,4.0,Dual-Cab UTE,4WD,BT-50,BT-50
2011 Mitsubishi Outlander,grey,PETROL,MITSUBISHI,AUTOMATIC,292786,7000,WA,2011,Outlander,3.0,2.5,3.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2017 Holden Commodore,white,PETROL,HOLDEN,AUTOMATIC,200000,4000,QLD,2017,Commodore,3.5,3.0,3.0,Sedan,RWD,COMMODORE,COMMODORE
2013 Toyota Hilux,white,OTHER,TOYOTA,AUTOMATIC,297546,13770,WA,2013,Hilux,3.0,1.5,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
"2009 Mazda MX-5 | 88,000km | 200hp tuned",grey,OTHER,MAZDA,MANUAL,88000,22000,WA,2009,"mx-5 | 88,000km | 200hp tuned",3.5,3.0,1.0,Convertible,RWD,MX-5,MX-5
2009 Holden Calais,gold,PETROL,HOLDEN,AUTOMATIC,200000,3500,WA,2009,Calais,3.5,4.0,4.0,Sedan,RWD,CALAIS,CALAIS
2003 Mitsubishi Pajero,red,PETROL,MITSUBISHI,AUTOMATIC,276765,12000,WA,2003,Pajero,3.0,3.0,4.0,Large SUV,4WD,PAJERO,PAJERO
2009 Nissan Nissan Skyline GT-R,grey,PETROL,NISSAN,AUTOMATIC,218000,7900,WA,2009,Nissan Skyline GT-R,4.8,4.5,3.5,Coupe,AWD,GT-R,SKYLINE-GT-R
2023 Mercedes-Benz cla 45 s amg,white,OTHER,MERCEDES-BENZ,AUTOMATIC,33000,94990,NSW,2023,cla 45 s amg,4.5,4.5,2.0,Sedan,AWD,CLA,CLA-45-S-AMG
2016 MINI Clubman,beige,PETROL,MINI,AUTOMATIC,180000,15500,NSW,2016,Clubman,3.5,4.0,2.5,Hatchback,FWD,CLUBMAN,CLUBMAN
2006 Subaru Impreza,silver,PETROL,SUBARU,MANUAL,360000,3000,QLD,2006,Impreza,3.2,2.5,2.0,Sedan,AWD,IMPREZA,IMPREZA
2005 Mitsubishi Mitsubishi Express,white,PETROL,MITSUBISHI,MANUAL,345000,4100,WA,2005,Mitsubishi Express,2.0,1.5,4.0,Cargo Van,RWD,EXPRESS,EXPRESS
2008 Ford Mustang,red,PETROL,FORD,MANUAL,120000,5000,QLD,2008,Mustang,3.5,3.0,4.0,Coupe,RWD,MUSTANG,MUSTANG
2010 BMW X5,grey,DIESEL,BMW,AUTOMATIC,303500,8000,VIC,2010,X5,3.5,4.0,4.0,Large SUV,AWD,X5,X5
2009 Volkswagen Caddy,white,DIESEL,VOLKSWAGEN,MANUAL,223993,11000,VIC,2009,Caddy,2.5,2.0,3.0,Cargo Van,FWD,CADDY,CADDY
2014 Renault Master,red,DIESEL,RENAULT,AUTOMATIC,147869,14000,VIC,2014,Master,2.5,1.5,5.0,Cargo Van,FWD,MASTER,MASTER
2003 Holden Ute,white,OTHER,HOLDEN,MANUAL,302000,14000,VIC,2003,Ute,3.0,2.5,4.0,UTE,RWD,UTE,UTE
2012 Holden Commodore,turquoise,OTHER,HOLDEN,AUTOMATIC,118200,2600,VIC,2012,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2009 Hyundai Getz,silver,PETROL,HYUNDAI,MANUAL,190000,8000,VIC,2009,Getz,2.0,1.5,1.0,Hatchback,FWD,GETZ,GETZ
2013 Ford Focus,blue,PETROL,FORD,AUTOMATIC,245000,8500,QLD,2013,Focus,2.8,2.5,2.0,Hatchback,FWD,FOCUS,FOCUS
2012 BMW X3,red,OTHER,BMW,AUTOMATIC,127000,9999,QLD,2012,X3,3.5,4.0,3.0,Compact SUV,AWD,X3,X3
2020 Renault Master,yellow,OTHER,RENAULT,AUTOMATIC,270000,30000,QLD,2020,Master,2.5,2.0,5.0,Cargo Van,FWD,MASTER,MASTER
2015 Holden Barina,grey,PETROL,HOLDEN,MANUAL,74886,8950,QLD,2015,Barina,2.0,2.0,1.0,Hatchback,FWD,BARINA,BARINA
2017 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,159000,31500,WA,2017,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2023 Hyundai KONA PREMIUM N LINE 2WD,orange,PETROL,HYUNDAI,AUTOMATIC,8155,34990,WA,2023,kona premium n line 2wd,3.0,4.0,2.0,Compact SUV,FWD,KONA,KONA
2021 Mitsubishi Outlander,grey,PETROL,MITSUBISHI,AUTOMATIC,100200,30000,WA,2021,Outlander,2.5,2.5,4.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2019 Mitsubishi Outlander,red,PETROL,MITSUBISHI,AUTOMATIC,160000,15000,WA,2019,Outlander,3.0,3.5,3.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2005 Holden Commodore,black,PETROL,HOLDEN,AUTOMATIC,183000,18000,WA,2005,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2008 Toyota Yaris,green,PETROL,TOYOTA,AUTOMATIC,272325,3600,WA,2008,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2022 Ford Mustang,yellow,PETROL,FORD,AUTOMATIC,25000,80000,NSW,2022,Mustang,4.5,3.5,3.0,Coupe,RWD,MUSTANG,MUSTANG
2009 Subaru Forester,silver,PETROL,SUBARU,AUTOMATIC,280000,5400,NSW,2009,Forester,3.0,3.0,3.0,SUV,AWD,FORESTER,FORESTER
2020 Mazda cx 30,silver,PETROL,MAZDA,AUTOMATIC,33000,27000,NSW,2020,cx 30,3.0,3.5,2.0,Compact SUV,FWD,CX-30,CX-30
2010 Toyota Yaris,blue,PETROL,TOYOTA,MANUAL,166591,6800,WA,2010,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2020 Ford ranger wildtrak px mkiii my21.25,grey,DIESEL,FORD,AUTOMATIC,109000,42000,WA,2020,ranger wildtrak px mkiii my21.25,3.5,4.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2012 Toyota Yaris,white,PETROL,TOYOTA,AUTOMATIC,187983,9250,WA,2012,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2010 Toyota Hilux,white,DIESEL,TOYOTA,MANUAL,246000,19000,WA,2010,Hilux,3.0,2.0,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2006 Mitsubishi Outlander,red,PETROL,MITSUBISHI,AUTOMATIC,310545,4950,QLD,2006,Outlander,2.5,2.5,3.0,Medium SUV,4WD,OUTLANDER,OUTLANDER
2018 Toyota hiace slwb 4wd diesel! campervan,white,DIESEL,TOYOTA,AUTOMATIC,139000,72400,NSW,2018,hiace slwb 4wd diesel! campervan,2.5,2.0,5.0,Van,4WD,HIACE,HIACE
2004 Honda Jazz,silver,PETROL,HONDA,AUTOMATIC,240000,3999,QLD,2004,Jazz,2.0,2.0,1.0,Hatchback,FWD,JAZZ,JAZZ
2008 Hyundai Getz,red,OTHER,HYUNDAI,MANUAL,125000,3999,QLD,2008,Getz,2.0,1.5,1.0,Hatchback,FWD,GETZ,GETZ
2011 Holden Captiva Holden Captiva,white,DIESEL,HOLDEN,AUTOMATIC,151635,6000,QLD,2011,holden captiva,2.5,3.0,4.0,SUV,AWD,CAPTIVA,CAPTIVA
2009 Subaru Impreza,silver,PETROL,SUBARU,MANUAL,226000,7000,QLD,2009,Impreza,2.5,2.0,2.0,Hatchback,AWD,IMPREZA,IMPREZA
2021 Toyota hilux sr 4x4 dual cab alloy tray,white,DIESEL,TOYOTA,AUTOMATIC,113356,48999,QLD,2021,hilux sr 4x4 dual cab alloy tray,3.5,2.5,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2014 Volkswagen Crafter,white,DIESEL,VOLKSWAGEN,MANUAL,340000,7500,NSW,2014,Crafter,2.5,2.0,5.0,Cargo Van,RWD,CRAFTER,CRAfter
2011 Ford Focus,yellow,PETROL,FORD,AUTOMATIC,154000,6200,QLD,2011,Focus,3.0,2.5,2.0,Hatchback,FWD,FOCUS,FOCUS
